State_LGD,Composite,No_Poverty
1,Jammu and Kashmir,64
2,Himachal Pradesh,83
3,Punjab,82
4,Chandigadh,
5,Uttarakhand,91
6,Haryana,73
7,Delhi,67
8,Rajasthan,67
9,Uttar Pradesh,66
10,Bihar,39
11,Sikkim,81
12,Arunachal Pradesh,63
13,Nagaland,56
14,Manipur,73
15,Mizoram,71
16,Tripura,71
17,Meghalaya,57
18,Assam,63
19,West Bengal,70
20,Jharkhand,49
21,Odisha,63
22,Chhattisgarh,69
23,Madhya Pradesh,67
24,Gujarat,75
27,Maharashtra,74
28,Andhra Pradesh,75
29,Karnataka,79
30,Goa,84
31,Lakshyadweep,83
32,Kerala,92
33,Tamil Nadu,86
34,Puducherry,
35,Andaman & Nicobar,60
36,Telangana,74
37,Ladakh,79
38,Dadra & Nagar Haveli & Daman & Diu,
