State_LGD,Composite,Quality_Education
1,Jammu and Kashmir,56
2,Himachal Pradesh,75
3,Punjab,73
4,Chandigadh,
5,Uttarakhand,77
6,Haryana,63
7,Delhi,85
8,Rajasthan,52
9,Uttar Pradesh,52
10,Bihar,32
11,Sikkim,72
12,Arunachal Pradesh,49
13,Nagaland,40
14,Manipur,63
15,Mizoram,63
16,Tripura,61
17,Meghalaya,41
18,Assam,46
19,West Bengal,60
20,Jharkhand,40
21,Odisha,52
22,Chhattisgarh,58
23,Madhya Pradesh,54
24,Gujarat,65
27,Maharashtra,64
28,Andhra Pradesh,67
29,Karnataka,67
30,Goa,76
31,Lakshyadweep,67
32,Kerala,82
33,Tamil Nadu,77
34,Puducherry,
35,Andaman & Nicobar,63
36,Telangana,65
37,Ladakh,53
38,Dadra & Nagar Haveli & Daman & Diu,
